Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages,Distance to Apogee,Launch,Apogee,Projected Distance to Apogee,Projected Apogee,Apogee Residual,Velocity Grouping,Percent Error
8.05,4833.139,827.9,711.4286,67.1, -,9.393232,5866.861,TL 22,10700,0,4833.139,5866.861,700+,54.83%
8.1,4865.306,826.9,703.0952,67.1, -,9.393232,5834.694,TL 22,10700,0,4865.306,5834.694,700+,54.53%
8.15,4903.948,825.7,709.9048,67.1, -,9.393232,5796.052,TL 22,10700,0,4903.948,5796.052,700+,54.17%
8.2,4936.184,824.7,704.619,67.1, -,9.393232,5763.816,TL 22,10700,0,4936.184,5763.816,700+,53.87%
8.25,4955.542,824.1,690,67.1, -,9.393232,5744.458,TL 22,10700,0,4955.542,5744.458,600+,53.69%
8.3,5000.751,822.7,712,67.1, -,9.393232,5699.249,TL 22,10700,0,5000.751,5699.249,700+,53.26%
8.35,5036.318,821.6,700.7143,67.1, -,9.393232,5663.682,TL 22,10700,0,5036.318,5663.682,700+,52.93%
8.4,5065.445,820.7,686.2857,67.1, -,9.393232,5634.555,TL 22,10700,0,5065.445,5634.555,600+,52.66%
8.45,5104.324,819.5,693.1429,67.1, -,9.393232,5595.676,TL 22,10700,0,5104.324,5595.676,600+,52.30%
8.5,5133.513,818.6,687.7143,67.1, -,9.393232,5566.487,TL 22,10700,0,5133.513,5566.487,600+,52.02%
8.55,5169.223,817.5,688.4286,67.1, -,9.393232,5530.777,TL 22,10700,0,5169.223,5530.777,600+,51.69%
8.6,5198.47,816.6,676.9048,67.1, -,9.393232,5501.53,TL 22,10700,0,5198.47,5501.53,600+,51.42%
8.65,5234.25,815.5,677.6667,67.1, -,9.393232,5465.75,TL 22,10700,0,5234.25,5465.75,600+,51.08%
8.7,5266.813,814.5,675.2857,67.1, -,9.393232,5433.187,TL 22,10700,0,5266.813,5433.187,600+,50.78%
8.75,5299.408,813.5,672.9048,67.1, -,9.393232,5400.592,TL 22,10700,0,5299.408,5400.592,600+,50.47%
8.8,5332.035,812.5,667.5238,67.1, -,9.393232,5367.965,TL 22,10700,0,5332.035,5367.965,600+,50.17%
8.85,5367.961,811.4,671.3333,67.1, -,9.393232,5332.039,TL 22,10700,0,5367.961,5332.039,600+,49.83%
8.9,5394.117,810.6,659.6667,67.1, -,9.393232,5305.883,TL 22,10700,0,5394.117,5305.883,600+,49.59%
8.95,5423.564,809.7,660.2381,67.1, -,9.393232,5276.436,TL 22,10700,0,5423.564,5276.436,600+,49.31%
9,5456.315,808.7,654.7619,67.1, -,9.393232,5243.685,TL 22,10700,0,5456.315,5243.685,600+,49.01%
9.05,5489.099,807.7,661.5238,67.1, -,9.393232,5210.901,TL 22,10700,0,5489.099,5210.901,600+,48.70%
9.1,5518.634,806.8,652.9524,67.1, -,9.393232,5181.366,TL 22,10700,0,5518.634,5181.366,600+,48.42%
9.15,5551.48,805.8,653.619,67.1, -,9.393232,5148.52,TL 22,10700,0,5551.48,5148.52,600+,48.12%
9.2,5577.781,805,641.8571,67.1, -,9.393232,5122.219,TL 22,10700,0,5577.781,5122.219,600+,47.87%
9.25,5597.52,804.4,629.9524,67.1, -,9.393232,5102.48,TL 22,10700,0,5597.52,5102.48,600+,47.69%
9.3,5637.035,803.2,649.1429,67.1, -,9.393232,5062.965,TL 22,10700,0,5637.035,5062.965,600+,47.32%
9.35,5666.704,802.3,634.3333,67.1, -,9.393232,5033.296,TL 22,10700,0,5666.704,5033.296,600+,47.04%
9.4,5696.397,801.4,628.7619,67.1, -,9.393232,5003.603,TL 22,10700,0,5696.397,5003.603,600+,46.76%
9.45,5729.423,800.4,632.4762,67.1, -,9.393232,4970.577,TL 22,10700,0,5729.423,4970.577,600+,46.45%
9.5,5755.869,799.6,620.619,67.1, -,9.393232,4944.131,TL 22,10700,0,5755.869,4944.131,600+,46.21%
9.55,5785.644,798.7,621.1429,67.1, -,9.393232,4914.356,TL 22,10700,0,5785.644,4914.356,600+,45.93%
9.6,5812.134,797.9,612.381,67.1, -,9.393232,4887.866,TL 22,10700,0,5812.134,4887.866,600+,45.68%
9.65,5841.962,797,612.9524,67.1, -,9.393232,4858.038,TL 22,10700,0,5841.962,4858.038,600+,45.40%
